paragraph,vertices_0_x,vertices_0_y,vertices_1_x,vertices_1_y,vertices_2_x,vertices_2_y,vertices_3_x,vertices_3_y
全生のキャラクターも一緒に盛り上げるよ!,37,97,341,33,356,105,52,168
期間,152,228,212,229,212,253,152,252
2025年,129,271,239,271,239,290,129,290
6月3日まで,88,296,280,301,279,338,87,333
みんなのおすすめ!!,516,15,1060,15,1060,81,516,81
推しコプ,352,88,1101,88,1101,320,352,320
しコープについて,1199,50,1389,50,1389,77,1199,77
詳しくはこちら!,1171,86,1384,84,1384,118,1171,120
「コープのファンになってもらいたい!」という思いで全国の,131,383,1316,383,1316,433,131,433
組合員や生協職員が「推し」の商品を紹介するキャンペーンです。,72,447,1375,447,1375,494,72,494
歯ごたえの良い,121,563,141,562,146,695,126,696
太もずくがクセに,70,567,89,566,97,723,78,724
沖縄梨伊平屋島产,93,564,116,563,122,722,99,723
なる!,43,567,60,566,62,622,45,623
OOOD,304,563,364,570,362,582,303,575
V,521,615,545,619,540,644,516,640
9821,489,708,524,711,523,720,488,717
いただきます。にボリュームアップしていつも買っています。きゅうりの塩もみと一緒,651,544,747,549,736,746,640,741
Co-op,944,568,985,569,985,582,944,581
たまごがふわっぷので,1078,551,1185,557,1183,586,1076,580
たまごスープ,879,609,1044,613,1043,646,878,642
co-op,1290,628,1336,628,1336,641,1290,641
国産,886,677,914,677,914,690,886,690
-沖縄県,85,753,223,756,222,786,84,783
伊平屋島産味付もずく,60,792,380,792,380,823,60,823
本体各,475,789,530,788,531,837,476,838
本番180,522,769,674,766,675,838,523,841
円,675,767,735,766,736,837,676,838
安心、定番の味です。,779,779,959,782,959,802,779,799
●米黒酢入り●三杯酢各70g×3,60,829,381,831,381,893,60,891
参考税込,482,859,563,859,563,878,482,878
税込各194円,518,860,709,840,714,892,523,912
たまごもふっくらしておいしいです(^^)ちょっとスープが欲しいときに重宝です。,777,813,1120,825,1118,882,775,870
GATEDKANIPRAVL,289,940,403,941,403,952,289,951
